Title,Tags,Score,Date,Matched_Type,AnswerCount,ViewCount,PostLength,TagCount,Cluster,PCA1,PCA2
,,12,2008-09-02T11:11:01.103,null_dereference,0,0,674,0,0,-0.7558173190521086,-0.1060332837734148
,,12,2008-08-27T13:59:22.387,resource_leak,0,0,1034,0,0,-0.77023583857868,-0.011010852275376504
,,277,2008-08-15T13:29:01.523,thread_safety_violation,0,0,2073,0,0,-0.5038132755673731,1.161113308741911
"How do you keep two related, but separate, systems in sync with each other?",|sql-server|database|synchronization|distributed|,24,2008-08-17T02:57:46.633,thread_safety_violation,5,10971,1754,1,1,1.026851468427597,-0.6524379833551511
,,25,2008-08-17T03:22:49.017,thread_safety_violation,0,0,1877,0,0,-0.7888880045273187,0.2555468958988495
,,20,2008-08-26T16:32:21.480,out_of_bounds,0,0,1195,0,0,-0.7673849205474825,0.05859106777684463
,,14,2008-08-26T06:14:06.850,resource_leak,0,0,2163,0,0,-0.8131291177779771,0.2937664952195932
What is Multiversion Concurrency Control (MVCC) and who supports it?,|database|deadlock|terminology|,49,2008-08-26T07:04:21.657,thread_safety_violation,15,37471,340,1,1,2.5472594396743147,-1.0808698369553067
,,18,2008-08-26T09:20:03.580,thread_safety_violation,0,0,506,0,0,-0.7421142763251062,-0.13004775233163376
What is a race condition?,|multithreading|concurrency|terminology|race-condition|,1324,2008-08-29T15:55:10.457,thread_safety_violation,19,876000,292,1,4,8.970266748359402,5.27233336392814
What is a deadlock?,|multithreading|concurrency|locking|deadlock|,203,2008-08-29T15:56:27.020,thread_safety_violation,18,163588,282,1,1,3.782025413044485,-0.3163767216119236
,,258,2008-08-29T15:58:34.957,thread_safety_violation,0,0,803,0,0,-0.4750335436837646,0.761519065955535
What is a mutex?,|multithreading|concurrency|mutex|,960,2008-08-29T15:59:25.437,thread_safety_violation,10,474981,180,1,1,5.271824917971758,3.1778627541746696
,,40,2008-08-29T16:03:06.537,thread_safety_violation,0,0,517,0,0,-0.7169820411682092,-0.05260340218602021
,,12,2008-08-29T16:04:43.600,thread_safety_violation,0,0,534,0,0,-0.7502101170139974,-0.1429864515782074
,,79,2008-08-29T16:04:47.797,thread_safety_violation,0,0,676,0,0,-0.6780166187975293,0.12150550164123923
,,1657,2008-08-29T16:05:23.100,thread_safety_violation,0,0,1390,0,0,1.1276539247818709,5.656581185826645
,,120,2008-08-29T16:05:38.747,thread_safety_violation,0,0,547,0,0,-0.6251915807118358,0.22637290453924544
,,271,2008-08-29T16:06:26.857,thread_safety_violation,0,0,289,0,0,-0.4393359013058545,0.6698950376218779
,,2933,2008-08-29T16:07:15.387,thread_safety_violation,0,0,1064,0,4,2.6239331550586007,9.893904538816376
,,48,2008-08-29T16:07:57.913,thread_safety_violation,0,0,193,0,0,-0.6947061732192694,-0.11101781345754506
,,29,2008-08-29T16:11:28.077,thread_safety_violation,0,0,882,0,0,-0.7443872184260876,0.00646834182457069
